ozone,longitude,latitude
26.119880000000002,-120.9411,38.67379999999998
14.336588,-121.9243,37.324400000000004
33.419072,-121.27189999999999,37.53829999999995
32.970636,-120.95410000000001,39.09969999999994
31.113452,-120.0388,36.966600000000035
33.912513999999994,-118.39390000000002,37.36159999999996
34.675176,-118.1327,34.68990000000004
27.202335,-121.2169,38.789699999999996
30.880259,-119.7731,36.781899999999986
19.681029,-123.2002,39.144700000000014
20.909095,-121.49360000000001,38.56799999999997
30.069258,-122.25500000000001,40.17139999999999
42.939566,-120.8219,38.72470000000006
48.704184,-119.7058,37.71329999999994
24.672056,-121.5853,38.71330000000001
30.610516,-120.9441,39.93969999999998
27.948037,-117.16610000000001,33.52609999999998
32.887565,-120.4336,37.28170000000004
32.063125,-119.7164,36.81939999999995
21.289551,-123.98120000000002,41.8456999999999
36.288599999999995,-121.007,39.26679999999998
44.314444,-117.8761,33.858
25.570714000000002,-122.2986,40.453100000000056
25.270906,-122.90050000000001,38.65359999999997
45.158434,-118.8286,36.49360000000002
29.007405,-119.5869,37.7502
18.963178,-117.86939999999998,33.75049999999998
29.15763,-116.9602,32.79380000000006
18.514601,-123.3497,39.404399999999995
48.620461,-121.75000000000001,39.15830000000004
44.671385,-118.1478,35.050299999999936
43.871438999999995,-116.0553,34.1419
47.990648,-121.0555,39.233600000000045
30.717292999999998,-119.64359999999999,36.31469999999999
22.8673,-117.84,33.94999999999993
21.972608,-122.01439999999998,37.05220000000004
23.005614,-121.53190000000001,37.739999999999974
28.741268,-122.18969999999999,39.517199999999924
24.258383000000002,-121.5999,37.07940000000001
31.090488,-115.6236,33.032499999999956
33.547933,-120.6802,38.201900000000045
27.204452,-119.0144,35.38529999999997
29.246961,-119.0627,35.35659999999998
28.053223,-121.10290000000002,37.41199999999995
47.34903,-116.8478,36.50889999999997
52.390136,-116.3888,34.069400000000044
23.300554,-121.96270000000001,38.35269999999996
52.041847000000004,-120.84559999999999,39.31810000000001
50.022547,-122.0928,40.26219999999988
28.218024,-121.5341,37.73660000000001
45.656401,-119.26859999999999,37.13829999999999
53.942367,-120.2997,38.050499999999985
51.285333,-118.42499999999998,35.13329999999998
39.908948,-116.8583,33.92079999999999
30.149583,-119.24579999999999,34.41659999999998
32.003494,-115.5453,33.21360000000001
32.264148999999996,-121.16440000000001,38.68299999999999
31.312143,-119.5658,36.10219999999993
47.348619,-121,38.8906
28.179151,-122.2366,40.1748999999999
50.909659000000005,-118.7628,36.42920000000002
37.323443,-121.2277,38.47189999999998
27.908776,-120.01000000000002,36.867200000000004
50.889412,-117.62079999999999,34.2391
40.04059,-117.37219999999999,35.774400000000014
19.477611999999997,-120.99359999999999,37.6422
51.073147999999996,-117.65110000000001,35.00360000000007
58.665986000000004,-118.1116,34.556899999999956
57.574172,-117.56499999999998,34.73749999999999
61.256488999999995,-117.2888,34.611600000000074
22.119218999999998,-121.5144,38.6366
23.507854000000002,-121.7305,38.660500000000056
30.331011,-120.5008,35.03159999999999
39.50473,-116.15770000000002,34.72469999999998
41.00628,-117.2858,34.10220000000007
63.220423,-117.44770000000001,34.37499999999995
30.033451999999997,-117.6755,33.629699999999914
27.617779,-122.0758,38.22689999999992
48.131646,-118.83410000000002,36.49109999999998
25.168683,-120.4355,34.942999999999905
47.745645,-120.0331,38.81170000000005
26.059818,-121.62330000000001,36.69410000000002
22.523952,-121.78,37.679999999999964
43.206001,-121.61770000000001,39.71409999999999
46.080394,-120.23,35.644099999999966
33.364899,-117.325,34.51219999999997
31.094809,-118.5283,34.38329999999997
30.212965,-118.80969999999999,34.40439999999992
21.246258,-122.05110000000002,37.3558
22.723371,-118.21659999999999,34.03520000000003
37.807248,-118.1305,34.67130000000001
19.522316,-121.89470000000001,37.34830000000004
24.623552,-119.5938,37.74300000000005
31.2,-119.82750000000001,36.76690000000005
33.825,-119.76910000000001,36.802999999999955
38.539335,-120.1219,39.18409999999999
53.018147,-120.40660000000001,38.84219999999991
27.237252,-117.9384,33.830600000000004
24.812887,-115.53819999999999,32.9783
23.994873,-121.95,38.35830000000005
28.517037,-120.66880000000002,35.256599999999956
20.596064000000002,-118.0668,34.01020000000005
36.218215,-120.04000000000002,35.220000000000006
31.175532,-121.4405,37.682499999999955
48.167969,-115.8206,33.741099999999996
34.394763000000005,-118.8866,34.816599999999994
28.178838000000002,-117.49330000000002,33.99560000000008
25.924242,-122.1908,39.533800000000035
22.690724999999997,-121.1263,36.20919999999999
22.288122,-121.50670000000001,38.650699999999915
21.70625,-118.205,33.90130000000001
31.9,-122.4021,40.689200000000014
28.133390000000002,-117.521,34.007000000000005
16.534883999999998,-118.78940000000001,35.23659999999998
17.775409999999997,-120.3823,36.6342
